Nom	Adresse (ligne 1)	Adresse (ligne 2)	Adresse (ligne 3)	Code postal	Ville	Pays	Autre...	Collections : [Nom]
Cahiers Gai Kitsch Camp					Lille			[Question de Genre][Récits contemporains]
DLM editions					Montpellier	France		[Un sur Dix]
The Mit Press								
Editions Macula					Paris			[Argô][Argô][Deucalion][Macula Architecture]
Arléa					Paris			[Arléa-Poche][Arléa-Poche][Retour aux grands textes]
Parangon/Vs					Lyon			[Situations et Critiques]
La Marca					Buenos Aires	Argentine		[Biblioteca de la Mirada]
Editions Kimé					Paris			
Icon Books						Grande Bretagne		[Postmodern Encounters]
Springer-Verlag					New York	USA		[Hypothèses]
Librairie Jean Meyer								
Diderot Editeur					Paris	France		
TER					Mauvezin	France		[bilingue]
Editions de l'Aurore					Montréal			
Casterman					Paris			[Autre temps, autres mondes][Nouvelle Initiation Philosophiqu]
Escuela Nacional de Anthropologia e Historia								[Tesis Profesional]
Arcanes					Chatou	France		[Hypothèses][Les Cahiers d'Arcanes]
Editions Alive					Paris			
Perisse Frères								
Librairie Boyveau et Chevillet								
Editions EDL					Paris			[Géo]
Erès					Ramonville Saint-Agne			[Actes][Acutalité de la psychanalyse][Analyse laïque][Cliniques méditerranéennes][Des Travaux et des Jours][essaim][Expérience freudienne et recherc][Fiction psychanalytique][GREC][Hypothèses][La maison jaune][Littoral][Littoral. Essais en psychanalyse][Littoral. Fabrique du cas][Littoral. Traduction][Monographies de clinique psychan][Point Hors Ligne][Pratiques du champ social][Psychanalyse et Ecriture][Recherches et travaux en science][Savoirs et clinique][Scripta]
Argos					Chapeco	Brésil		
Editions Hoëbeke					Paris			
Adolphe Delahays					Paris			
Actes Sud					Paris / Arles			["Générations"][Domaine français][Hébraïca][La fabrique du corps humain][Lettres allemandes][Lettres anglo-américaines][Lettres hispaniques][Lettres indiennes][Lettres italiennes][Lettres japonaises][Lettres scandinaves][Mathématiques et société][Papiers][Sindbad][Thésaurus][un endroit où aller]
Al Manar					Paris	France		[Poésie]
Beauchesne					Paris			[Bibliothèque des archives de phi][Feuilles][Prétentaine]
L'Altiplano					Paris			[agit'prop]
RBA								[Biblioteca de Psicoanalisis]
Editions Allia					Paris			
Centre Culturel Français Timisoara					Timisoara	Roumanie		[Sur Exposition]
Le Pommier					Paris			
Editions Brepols					New York	USA		
Editions de Fallois					Paris			
Julliard								[Collège de France][Les Lettres Nouvelles][Littératures étrangères][Parages]
Editions Macula					Paris			[La littérature artistique][Propylées]
Editions desIris					Paris			
Les Phares								
Chatto and Windus					Londres	Grande Bretagne		
Editions Alternatives					Paris			
Imprimerie Nationale Editions								[Cahiers de la Société Asiatique][La Salamandre]
Pocket								[Agora / Les classiques][L'Age d'Être]
Vanji Malar								
José Corti					Paris			[DROSERA][Ibériques][rien de commun][Romantique]
Waanders Publishers					Amsterdam	Hollande		
Rijk Museum Amsterdam								
Université Paris 7					Paris			[Textuel]
University of Oklahoma Press						USA		
Philippe Picquier								[Labor][Picquier poche]
Editions Gaies et Lesbiennes								
P.O.L					Paris			[La collection]
GaiKitschCamp					Lille			[Cahiers][Curiosa][Question de genre][Question de genre]
Editions du Remue-Ménage					Montréal	Québec. Canada		
Editions Geneviève Pastre					Paris			[Les octaviennes / Essais]
Fides								[Perspectives de théologie pratiq]
Editions Abbeville					New York / Paris / Londres			[]
La dispute / Snédit								
InterEditions					Paris			[L'analyse au singulier]
Edition l'Age d'Homme					Lausanne	Suisse		[Cahiers Cistre]
Marcel Rivière et Cie					Paris			
Editions Rationalistes					Paris			
Librairie Germer-Baillère et Cie					Paris			
Société d' Editions Scientifique								
Delagrave					Paris			
Bazoges-en-Pareds					Bazoges-en-Pareds	France		
Desclée de Brouwer					Paris			[Bibliothèque d'études psycho-rel][Bibliothèque de neuro-psy de lan][Temps et Contretemps][Textes Newmaniens]
Horay					Paris			
Persona								[Témoignage]
Editions Blanches					Paris			
Editions Autrement					Paris			[Histoire(s) au singulier][Mutations]
Honoré Champion Paris					Paris			[Confluences- Champion][Les Dix-huitièmes Siècles]
Editions Trismégiste								[sexulaité orientale]
Ecole des Hautes Etudes en Sciences Sociales					Paris			[Civilisations et Sociétés][Purusârtha]
Stéphane Michaud Editeur								
Editions de l'Olivier					Paris			[Marges][Penser / Rêver]
Edition Etudes Freudiennes					Paris			[Etudes freudiennes][Hors Série]
La Dispute								
Georg Editeur								[Le Bloc-Notes de la Psychanalyse]
Galaade Editions								[Retrouvailles]
Jean-Michel Place					Paris			[Collection Complète][La maison des arts de Laon][Revue d'Esthétique][Surréaliste][Vice versa]
Papyrus								
Editions Syllepse					Paris			[Matériologiques][Nouvelles questions feministes]
Jean-Jacques Pauvert					Paris			[Essai][Libertés]
La Rouergue / Chambon					Rodez			
Editions à Rebours					Lyon			
Editinter					Soisy-sur-Seine 			
Editions Balzac					Baixas	France		[L'Histoire de l'Oeil / Curiosa]
Edouard Privat								[Bibliothèque Méridionale]
Editions de Paris Max Chaleil					Paris			
Weber								
Phebus								[d'ailleurs][D'aujourd'hui][D'aujourd'hui étranger][Domaine d'Oc][Domaine japonais][Domaine turc][Libretto]
Editions Les Solitaires Intempestifs					Besançon			[Essais][Traductions du XXIe siècle]
Editions Tisseau					Bazoches-en-pareds (Vendée)			
L'Orante						Paris		[Fayard / Orante]
Mouton & Co								[L'Homme]
Raisons d'agir								
Seuil/Gallimard					Paris			[Hautes études]
Aedelsa 					Lyon			
L'Herne								[Bibliothèque des mythes et des r][Carnets de L'Herne][Méandres]
Editions Amsterdam					Paris			
Athenas Ediciones					Athènes	Grèce		[Paginas Lyircas]
Publish or Perish, inc								[Mathematics Lectures Series]
Edition de la Fondation Egyptologiqe Reine Elisabeth					Bruxelles			
Loeb Classical Librabry								
Editions du Raisin								
Editions Nauwelaerts								[Publications de la faculté des l]
Librairie des Bibliophiles								[La Philosophies Materialiste au ]
Georg Olms Verlag						Allemagne		
Les Flohic								[Ecritures][Musées Secrets]
Ediciones Literales					Cordoba	Argentine		[El cuenco de plata]
Tavisitock Publications						Grande Bretagne		[Classics in the History of psych][Mind & Medicine Monographs]
Editions Anthropos					Paris			[psychanalyse]
Editions Garnier Frères					Paris			[][Classiques Garnier][J.-J. Pauvert][Jean-Jacques Pauvert]
Monash University Museum of Art								
Ecole de la cause freudienne					Paris			[Bilbiothèque de l'Ecole de la Ca][Les Documents de la Bibliothèque][Rue Huysmans][Scilicet]
Letra Viva / Libreria Editorial					Buenos Aires	Argentine		[Imago]
Le Semeur Editions								[Le semeur]
Edizioni del Galluzzo								[Estratto]
Cassino					Rome	Italie		[]
Pleine Page Editeur								[Arts, littérature et langage du ]
EDELP					Cordoba	Argentine		[Cuadernos de Litoral][Documentos][Ecole lacanienne de psychanalyse]
Ediciones psicoanaliticas de la Letra					Mexico	Mexique		[EPEELE]
Companhia de Freud Editora					Rio de Janeiro	Bresil		
El Cuenco de Plata								[Ediciones literales][El libertino erudito][Extraterritorial]
Editoriale Pomaire 					Venezuela	Venezuela		
Thomas Laurens								
Moscou					Moscou	Russie		[Initiations aux mathématiques][Littérature soviétique, oeuvres ]
Berg International Editeurs					Paris			
Les Editions ESF								[Science de l'éducation]
RETZ								[Les classiques des sciences huma]
Letras Cubanas								
Universidad Nacional Autonoma de Mexico					Mexico	Mexique		[Monografias]
Editions aden					Bruxelles	Belgique		[interlude]
Editions Solar					Paris	France		
Laboratoires Delagrange					Paris			[Les empêcheurs de penser en rond]
Encre Marine					Fougères			
Librio								[Inédit]
Editions Joelle Losfeld					Paris			[Arcanes]
Etudes Augustiniennes					Paris			
Bilbiothèque Berger-Levrault					Paris			[Stratégie]
Paul Geuthner Editeur								
Editions Alain Lefeuvre					Nice			[Connaissance de l'étrange]
Nagel								[Pensées]
Centre de Documentation Universitaire					Paris			[Les cours de Sorbonne]
Alpha Bleue					Alger	Algérie		[Sciences humaines]
Editions en langues étrangères					Pékin	Chine		
Alfred Costes Editeur					Paris			
Maison Mame								[Repères]
Gordon & Breach					Paris / Londres / New York			[Le temps philosophique][Réimpressions G+B]
Editions Métailié					Paris			[Bibliothèque anglo-saxonne][Bibliothèque brésilienne][Bibliothèque hispano-américaine][Suites]
Ediciones Era					Mexico	Mexique		[Arte Mexicano][Biblioteca ERA]
Coimbra Editora					Coimbra	Portugal		
Le Club français du Livre								[Portraits de l'Histoire][Privilège]
MAME								[Les grandes religions du monde][Repères][Sciences humaines et idéologies]
Editions Complexe					Paris			[Dialectiques][Historiques][Le regard littéraire][Textes]
Typographie de Firmin Didot Frères								
Harcourt, Brace & Cie					Nex York	USA		
Editions Assouline					New York	USA		
Les Presses de l'Université d'Ottawa					Canada			[Philosophica]
Le Passage Editions					Paris-New York			
Ramsay / Jean-Jacques Pauvert					Paris			
Arfuyen 					Orbey			
Editions Carrere					Paris			[Jean-Jacques Pauvert]
Max Milo Editions					Paris			[L'esprit de Spinoza]
Le Collège Supérieur					Lyon			
L'insomniaque								
Other Press								
Planeta de Agostini						Espagne		[Los Clasicos de Grecia y Roma]
Fondo de Cultura Economica de Argentina					Argentine			[Seccion de Obras de Politica]
Casa do psicologo livraria e editora					Sao Paulo	Brésil		[Clinica psicanalitica]
Ediciones de la Urraca					Buenos Aires	Argentine		
Editorial Me Cayo El Veinte						Mexique		[][Me Cayo El Veinte Revista][Textos]
Epeele					Mexico			[Fabrica de casos / casos en fabr][Libros de artefacto][Litoral]
Editions Chrysis					Evreux			
Editions Luc Pire					Bruxelles	Belgique		[Que / Récit]
Lituraterre						Australie		
Editorial Biblos								
Editorial Pieatierra								
ECP					Paris			
Centro Cultural Espagna 					Cordoba	Argentine		
Azul					Saint-Mandé			
Editions de la Pensée Moderne					Paris			
Scienceinfuse								
Editions Ombres					Toulouse			
Copernic					Paris			
Editions du Sablier					Paris			
Editions Mengès					Paris			[Destins]
Ediciones G.P. 					Barcelone	Espagne		[Quien Fue...]
Editions de l'Encyclopédie des Nuisances					Paris			
Pre-Textos					Valence	Espagne		
Alain Moreau 					Paris			
Editions de l'Association Lacanienne Internationale					Paris			
ELP					Paris			[Butin de l'ELP]
La Tercera								[Desatinos]
Editorial Sedimentos					Buenos Aires	Argentine		[Poubellication]
Javier Vergare Editor barcelona					Barcelone	Espagne		
Editions j'ai lu					Paris			[J'ai lu en images]
Le Livre de Poche					Paris			[Art][Biblio / essais][Bilbio][Cahier de l'Herne][Classique][EDMA][Historique][Illustré / Texte intégral][La pochothèque][Les langues modernes / Bilingue][Lire en Anglais][Policier][Texte intégral]
Le Passeur-Cecofop					Nantes			
Presses de Sciences Po								
Editions Pleins Feux					Nantes			[Auteurs en questions][Lectures]
Imec								[10/18][L'Edition contemporaine]
La Salamandra Milan					Milan	Italie		
François Beauval éditeur					Suisse			
JC Lattès					Paris			
Bartillat 					Paris			
Le Castor Astral					Bordeaux			[Les Inattendus]
Didier Devillez Editeur					Bruxelles	Belgique		
Buchet/Chastel					Paris			[Musique]
Argol Editions					Paris			
Criterion					Paris			
Anthropos					Paris			[Anthrpologie][L'homme et la société][Poche psychanalyse][Psychanalyse]
Didier Erudition					Paris			[Linguistique 16][traductologie 1]
Les Presses de la Cité					Paris			
Lignes					Paris			[Revue Lignes]
Cahiers d'Histoire					Paris			
Corlet-Marianne					Condé-sur-Noireau			[Panoramiques]
EDK					Paris			
Le Diable Probablement					Paris			
Alternatives économiques					paris			
Revue des Sciences Humaines					Lille			[RSH]
Thomé et Léger					Paris			
Guillaumin et Cie					Paris			
Greenwood Press					USA			
Presses Pocket					Paris			[Agora][Agora]
Gauthier-Villars					Paris			[Les maîtres de la pensée scienti][Logique Mathématique]
A.G. Nizet 					Paris 			
Topologie En Extension					Paris			
Jean-Paul Rocher					Paris			[Les fruits défendus]
Eshel					Paris			[La question][Remise en question]
Navarin						France		[Analytica][Bibliothèque des Analytica][Cliniques][L'Homme][Osiris][Psychanalyse au CNRS][Studiolo]
Inconnu								[Mésopotamie]
Sud					Marseille			[Sud]
Martinus Nijhoff					La Haye			[Phaenomenologica]
Basil Blackwell 					Oxford	Grande Bretagne		
La Lettre volée					Bruxelles	Belgique		[Essais]
Association Freudienne Internationale					Paris			[][Le Discours psychanalytique]
"Après"					Paris			
La lettre lacanienne, une école de la psychanalyse					Paris			[Des cahiers pour une école]
Lieu Commun					Paris			[Essai][Mémoires]
Ediciones del Seminario					Buenos Aires	Argentine		[filigrana]
Mentha / Archimbaud						France		
Editions Le Pli Orléans					Orléans			
Virago Press 					Londres	Grande-Bretagne		
Z'éditions					Nice			[Le SINGLETON][Tuché]
Césura Lyon Edition					Lyon			[Psychanalyse]
Universidad de San Buenaventure Cali 						Colombie		
Peeters Louvain								
Oficio Analitico						Argentine		
Homo sapiens					Rosario	Argentine		[La clinica en los bordes]
Hogarth Press and the institute of psycho-analysis					Londres	Grande-Bretagne		[The international psycho-analyti][The international psycho-analyti]
Maria Lopez					Mexico	Mexique		
Le Cavalier Bleu								
Imago publishing co. ; LTD					Londres	Grand Bretagne		
Fontana Press 					Londres	Royaume Uni		[Fontana Moderns Masters]
Lugar					Buenos Aires			
Quadrangle 					New York			
Ediciones del Serbal 					Bracelone	Espagne		[Antigona]
Russell					Buenos Aires	Argentine		
Privat					Toulouse			["Nouvelle Recherche"]["Résurgences"][Bibliothèque de Psychologie Clin][Bibliothèque historique Privat][Bibliothèque internationale de p][Bibliothèque internationale de p][Domaines de la psychiatrie][L'évolution psychiatrique][L'information Psychiatrique][Pensée][Regard][Revue d'esthétique][Rhadamanthe][Rhadamanthe]
Afrique Orient 					Casablanca	Maroc		
Imago LTDA					Rio de Janeiro	Brésil		
L'Esprit du Temps 					Bordeaux-Le-Bouscat			[Perspectives psychanalytiques][Perspectives psychanalytiques][Santé]
Grune & Stratton					New York	USA		
Association Freudienne 					Paris			
Ortega y Ortiz 					Mexico	Mexique		[Artefactos]
Solin					Paris			
Universidad Iberoamericana Leon					Mexico	Mexique		
Edité par ses amis								
Mengès						France		[Destins]
Agalma					Paris			[Le paon]
Letra Viva / Edelp								
Asociacion Psicoanalitica Argentina					Buenos Aires	Argentine		[Revista de Psicoanalisis][Revista de Psicoanalisis]
Universidad Autonoma del Estado de México					Mexico	Mexique		[Luis Mario Schneider]
Armella 					Mexico	Mexique		[Fundacion Mexicana de Psicoanali]
Eleia					Mexico	Mexique		
Editions Comp'Act					Chambéry			[Scalène]
Serge Plantureux					Paris			
Association Psychanalytique de France					Paris			
P.A.U. éducation								
Movimiento Psicoanalitico de Medellin								
Editions du centre Saint-Germain-Des-Prés								
Ecole Pratique des Hautes Etudes					Paris			[Documents / Rapport / Chronique]
EPM/ SWProduction								[Portrait]
Librairie Générale Française					Paris			[Le Livre de Poche][Les langues modernes / bilingue]
Universidad Autonoma de Nuevo Léon								
Editorial Psycoanalitica de la Letra 					Mexico	Mexique		
Kliné						Argentine		
Tchou					Paris			[Bibliothèque des introuvables][psychanalyse]
The Freud Museum Editions					Londres			
Diskord					Londres	Royaume Uni		[The Freud Museum]
Karnac								
Dörlemann					Zurich	Suisse		[Biographie]
La cootypographie					Asnières			[Téléciné]
VillaRrose					Paris			[]
Quai Voltaire					Paris			
Calbido de la Capilla Real					Grenade	Espagne		
La Pensée Sauvage								[Bibliothèque d'ethnopsychiatrie][Corps et Psychisme][Nouvelle Revue d'Ethnopsychiatri]
Guerini e Associati 					Milan			[Ricerche]
Masson et Cie					Paris			[Livre annuel international][Médecine et psychothérapie][Travaux et mémoires de Montpelli]
Presses Universitaires du Mirail					Toulouse			[Découverte Freudienne]
Dante					Mexico	Mexique		[Mono-Gramas]
Hommes et Perspectives					Marseille			[Le journal des psychologues]
Evel					Paris			
Association pour la Fondation Henri Ey 					Perpignan			[Cahiers de psychiatrie]
Jorge Zahar					Rio de Janeiro	Espagne		[Transmissao da Psicanalise]
Editorial Brujas					Cordoba	Argentine		
University of New York Press					New York	USA		
Macmillan Company					New York	USA		[Let's Go]
Mazarine / Opera Mundi					Paris			
Egales Editorial								["G"]
Letra Viva Libros								
Biblioteca Nueva					Madrid	Espagne		[Psicoanalisis y Sociedad]
Scarabée et Compagnie					Paris			
Joseph Clims 					Paris			[][Le Discours Psychanalytique][Le Discours Psychanalytique]
Adrian Hidalgo					Buenos Aires	Argnetine		[La lengua / Novela]
ATUEL 					Buenos Aires	Argentine		[Anafora][Coleccion del Circulo]
Letra Viva / Ediciones Lecol								
Editions AGEP					Marseille			
Libros del Zorzal					Buenos Aires			
Ariel					Buenos Aires	Argentine		[Biblioteca del inconsciente]
SIMEP					Villeurbanne			
Confrontation								
Lucien Souny					Limoges			
Beacon Press					Boston	USA		[Women's studies / Gay and Lesbia]
?								["Le sac de sel"]
Japan UNI Agency					Tokyo	Japon		
Savelli					Paris			[Documents critiques]
Corregidor 					Buenos Aires	Argentine		[Obras completas]
Fisher Verlag					Frankfort	Suisse		
International Universities Press (New York)					New York	USA		
Rochevignes					Paris			[L'inconscient à venir]
Psych' Ass Editions								
Jacques Grancher					Paris			[]
Random House					New York	USA		
Folios Ediciones					Buenos Aires	Argentine		
Dawson & Sons					Londres	Grande Bretagne		[Psychiatric Monographe Series]
Des femmes. Antoinette Fouque					Paris			[Biographie]
Laffont / Tchou								[Les grandes découvertes de la ps]
EPPAL					Montevideo	Uruguay		[Biblioteca de psicoanalisis]
Ediciones Trilce					Montevideo	Uruguay		[Desafios]
Jean-Pierre Delarge					Paris			[Nouvelle Psychothèque]
Aubier Montaigne					Paris			[Collection bilingue][Ecrits sur la parole][La chair et l'esprit][La psychanalyse prise au mot][Philosophie de l'esprit]
Basic Books					New York	USA		
François-Xavier de Guibert 					Paris			
Pierre Mardaga					Bruxelles	Belgique		[Architectures + Archives][Pyschologie et sciences humaines]
EPEL & Buchet/Chastel					Paris			
Manucius					Houilles	France		[Le Marteau Sans Maître]
Catalogos 					Buenos Aires			
Editorial Trieb					Buenos Aires	Argentine		[Lo inconsciente]
La Terrasse de Gutemberg								
Amorrortu 					Buenos Aires	Argentine		
Desclée de Brouwer / Epi					Paris			
The Norton Library 					New York	USA		
Editions du Sagittaire					Paris			
University of Notre Dame Press					Londres			
Pierre Belfond					Paris			[Documents pour l'analyse][Documents pour l'analyse][L'Histoire au présent]
Georg & Cie					Genève	Suisse		
Lustre Press / Roli Books					New Delhi	Inde		
Place des éditeurs								[Presses de la Cité / Points]
E.N.S 					Lyon			
American Products Publishing Company 					Beaverton	USA		
OJD								[Sciences et avenir]
Caractères					Paris			
Théâtre des Champs Elysées					Paris			[Le Libre Opéra]
Editions Cartouche					Paris			
Bulletin de la Convention Psychanalytique					Paris			
Vacarme					Paris			
The New England Journal of Medicine								
Bash					Paris			[Nouveaux traitements]
Société d'Histoire du Théâtre					Paris			[Revue d'histoire du théâtre]
Opéra national du Rhin								
Théâtre Ouvert					Paris			
Caisse des Dêpots					Paris			
La Vie-Le Monde								[Courrier International]
Surabhi Prakash						Inde		
The Art Gallery					Thanjavur	Inde		
Trotta					Madrid	Espagne		[Estructuras y procesos]
Anthropos					Mexico	Mexique		[Cultura y diferencia]
Nicolas Chaudun					Paris			[Musée Rodin]
Seven Sept					Paris			
Kunstraum								
CEDREF					Paris			[Les Cahiers du cedref]
Presses Universitaires de Lyon					Lyon			
letra viva								
Letra Viva								[Imago Agenda][La clinica en debate]
Xavier Boveda Ediciones								
Digraphe					Paris			
Manantial					Buenos Aires	Argentine		[estudios de psicoanalisis][Los Ensayos][Quehacer del psicoanalista][Sexualidades]
Editions Des Femmes					Paris			
Denoël / Gonthier					Paris			[Médiations]
Herder					Barcelone	Espagne		
Editions des Grandes-Têtes-Molles de Notre Epoque					Paris			[Le minautore][Petite bibliothèque de psychana]
Les machines à illusion					Paris			
AREP					Orléans			
Electre								
JGH					Mexico	Mexique		[Libros de artefacto]
Ediciones de la Noche					Mexico	Mexique		[Psicoanalisis, lingüistica y Fil]
Séguier					Paris			
Topia					Buenos Aires	Argentine		[Psicoanalisis, Sociedad y Cultur]
Presses Universitaires de Nancy					Nancy			[Germaniques][Psychologie et psychanalyse]
Tusquets					Barcelone	Espagne		[Andanzas][Andanzas]
Le Cercle								[][Essais]
Eric Losfeld					Paris			[Le Désordre]
UAQ					Mexico	Mexique		
Norton & Company					London / New York			
Mentha								[De L'Homme]
Anagrama					Barcelone	Espagne		[Narrativas hispanicas][Panorama de narrativas]
Cuadernos del Pasador					Buenos Aires			
Joseph Clims / Denoël					Paris			
Pour l'Autisme					Paris			
Les Empêcheurs de penser en rond / Le Seuil								
Oficio Analitico					Buenos Aires	Argentine		
Paradiso					Buenos Aires	Argentine		
Des femmes					Paris			
Librairie Le François					Paris			
Ludd					Paris			
Ediciones el mono de la tinta					Buenos Aires	Argentine		
Stock / Monde Ouvert					Paris			
Artclair					Lille			[L'Oeil]
SFPA					Paris			
Société d'éditions scientifiques								[La Recherche]
Standford University Press						USA		
Cassell					Londres			
Diane de Selliers Editeur					Paris			
Prometheus Books					New York	USA		
British Film Institute					Londres			
Leopold Museum					Vienne			
Chrysis					Evreux			
L'Arche					Paris			[Collection du Répertoire][Psyché][Répertoire pour un théâtre popul][Scène ouverte][Théâtre national populaire]
Noriega					Mexico	Mexique		
BEAS					Buenos Aires			[Nuevo Saber]
William Blake & Co.					Bordeaux			
Constantin Sinelnikoff					Nice			
Karthala					Paris			
Fayard / Galilée								
Yauguru								[93]
El psicoanalisis en el siglo					Cordoba	Argentine		
Fundacion Descartes					Cordoba	Argentine		
Tekne					Buenos Aires	Argentine		[Psicologia y psicoanalisis]
Le Pli								[Clinique et Création]
Lumen					Buenos Aires			[Palabra Menor]
Jean-Louis Aupetit					Paris			
Stock / Laurence Pernoud								
Navarin / Seuil								[Bibliothèque des Analytica]
LecTour					Buenos Aires	Argentine		
Briest - Le Fur - Poulain - F. Tajan					Paris			
Artcurial					Paris			
Editora Campus					Rio de Janeiro	Brésil		
De La Campana					Campana	Argentine		
Sello de agua, Instituto de cultura de Morelos / CIDHEM								[Ensayo]
Universidad Autonoma de Querétaro					Mexico	Mexique		[Psicologia]
Victor Masson et Fils					Paris			
Bechet Jeune					Bruxelles			
Librairie Maloine					Paris		- Bibliothèque se neurologie et psychiatrie	[Bibliothèque de neuro-psychiatri][Bibliothèque de neurologie et ps][Les petits précis]
Rue et hotel Serpente					Paris			
Guillaume Cavelier								
Radot					Paris			
EPEL / GREC								
Librairie scientifique et philosophique					Paris			[Bibliothèque des sciences modern]
Octave Doin					Paris			
La Bibliothèque d'Ornicar					Paris			
Gérard Monfort					Paris			[Imago Mundi]
Le Hameau	Paris				Paris			
Le temps qu'il fait								
Jacques Gabay					Sceaux			[Discours de la méthode]
Alpha-Fnac					Anvers	Belgique		
Frénésie					Paris / Penne-d'Agenais			[Insania][Insania]
CEPL / RETZ					Paris			[Les classiques de la psychologie]
Caille et Ravier					Paris			
Asselin et Houzeau					Paris			
Calpe					Madrid			
Doin & Cie					Paris			[Actualités de Médecine Pratique][Les consultations journalières][Les consultations journalières]
Vigot Frères					Paris			[Les perversions sexuelles]
Steinheil					Paris			[Dégénérescence mentale et hystér]
Delahaye et Lecrosnier					Paris			
Specia					Paris			
Institut Metapsychique International					Paris			
Préfecture de la Seine								
Plon, Nourrit & Cie					Paris			
Eudiaque					Paris			
Henri Durville					Paris			
Frison-Roche					Paris			[Psychopathologie fondamentale]
Blusson					Paris			
Ollier-Henry					Paris			
Librairie des Deux-Mondes					Paris			
Jouve & Cie					Paris			
Masson					Paris			[Histoire et psychiatrie de l'Hôt][La sphère psychique][Langue et civilisation anglo-amé][Médecine et psychothérapie]
AARPC					Saint-Germain en Laye		AARPC : Association pour l'Aide à la Recherche en Psychopathologie Clinique	
Synthélabo					Le Plessis-Robinson			[Les empêcheurs de penser en rond]
INSERM								
Rueff et Cie					Paris		- Bilbliothèque médicale Charcot-Debove	[][Bilbliothèque médicale Charcot-D]
Germer Baillière					Paris			
Baillière et Fils					Paris			[Médecine et figures du passé][Travail du service du Dr Deny, à]
Editorial Fundamentos					Madrid	Espagne		[Ciencia]
Actes Sud / 3CA					Arles			
Maurice Nadeau					Paris			[La quinzaine littéraire]
Cénomane					Le Mans			
Charles Boehm					Montpellier		- Clinique médicale de l'Hopital Saint-Eloi	[Clinique médicale de l'hopital][Clinique médicale de l'hopital]
Pimlico					Londres	Grande Bretagne		
Laffitte Reprints					Marseille			
Le Léopard d'Or					Paris			
Editions Du Temps					Paris			[Esquisses]
Sciences en Situation					Paris			
UNICEF					Levallois-Perret			
Editions de Santé					Paris			[Humanités]
Louis Pariente					Paris			
Presses de la Renaissance					Paris			[Les nouvelles étrangères]
Nauwelaerts					Louvain / Paris			[Pathei Mathos]
Rossel Edition					Paris			
Lyse-Ornicar ?								[La Bibliothèque d'Ornicar ?]
Delarue					Paris			
Herscher					Paris			[FORMAT / art]
Editions des Eaux Claires					Paris			
El Colegio de Michoacan					Zamora	Mexique		
Doin & Fils					Paris			[Testut]
Michel Robert							 Asso des Auteurs Autoédités (AAA)	
Bréal					Rosny			[Collection de psychologie]
Aronson					New York / Londres			
Joseph Clims								[L'éclat du jour]
Steinheil					Paris			[Un cas littéraire de délire d'in]
Richard, Caille et Ravier					Paris			
Brosson					Paris			
Bibliopolis					Paris			
Paréiasaure théromorphe					Poitiers			[Les Trésors du Second Rayon]
Librairie Germer Baillière					Paris			[Bibliothèque scientifique intern]
Trevisse					Paris			
L'Atelier de l'Archer								[Question de temps]
Editions des musées de la Ville de Paris					Paris			
SARL Centrale Enchère								
Arthème Fayard					Paris			[Je sais - je crois][Les grandes études historiques][Mille et une nuits]
Jean Paul Bayol					Paris			
Laboratoires Janssen								
Actualités Psychiatriques					Le Plessis Robinson			
L'information Psychiatrique								
Didier					Paris			[Les classiques de la civilisatio][Les classiques de la civilisatio]
Institut Ramon Llull					Bracelone	Espagne		
Univers Poche					Paris			[Pocket]
Ediciones Recovecos					Cordoba	Argentine		[Enseyos]
Editions de Cluny					Paris			[Bibliothèque classique de Cluny][Bibliothèque de Cluny]
Editions du Rouergue					Rodez			
Actes Sud / Leméac					Arles / Montréal	France / Canada		[Babel]
Editions de l'Aire					Vevey	Suisse		[Agora][Dossiers Z]
Jean-Claude Simoën					Paris			
Instituto Alicantino de cultura Juan Gil-Abert					Alicante	Espagne		[Ensayo e investigacion]
Les formes du secret					Paris			
Pocket Books					New York			
Jean-Claude Lattès								[Les Petits Livres Précieux]
Editions Blanche					Paris			[Trouble d'ailleurs]
Editions 10 / 18					Paris			[Domaine étranger][Grands détectives]
Editions de l'Erable					Genève	Suisse		[François Beauval][François Beauval]
Garnier					Paris			[Classiques Garnier][Lectures érotiques de Jean-Jacqu][Les livres qui ont fait le monde]
Petrelle					Paris			
Art et arts					Bordeaux			
Théodore Balmoral					Orléans			[][Le monde est là]
Biro Editeur					Paris			[Arcane 17][Domaine Germanique]
Horay					Paris			
Zoé / éditions de l'aube								
Ediciones Siruela					Madrid	Espagne		[La biblioteca de Babel]
Obsidiane								[Vif d'Enclume]
La passe au vent								
Lecturas 18 Mexicanas					Mexico	Mexique		
Tristram					Auch	France		
Cheval d'attaque					Paris			
El Colegio de México					Mexico	Mexique		
Le chemin vert					Paris			
Editions UNESCO					Paris			
Alberto Corazon					Madrid			[Visor de la poesia]
Chancellor Press					Londres	Grande Bretagne		
La bibliothèque privée					Paris			
Le Terrain Vague					Paris		Capitaine C. Devereux de l'Etat-major	[Capitaine C. Devereux de l'Etat-][Le désordre - Hors série]
Ediciones Ibericas					Madrid	Espagne		[Biblioteca de Bolsillo]
Denoël / Steele					Paris			
Espasa Calpe, Barcelone								[Biblioteca Austral]
Panamericana Editorial					Bogota	Colombie		
Les Editeurs Français Réunis					Paris			
Les Lettres Modernes					Paris			[Archives des lettres modernes]
Théâtre du Soleil								
Anne Carrière					Paris			
Editions L. Mauguin					Paris			
